id,type,name,canonical,cached_count,merger_id
1,Media,TV Shows,TRUE,910,
2,Media,Movies,TRUE,1164,
3,Media,Books & Literature,TRUE,134,
4,Media,Cartoons & Comics & Graphic Novels,TRUE,166,
5,Media,Anime & Manga,TRUE,501,
6,Media,Music & Bands,TRUE,19,
7,Media,Celebrities & Real People,TRUE,33,
8,Media,Other Media,TRUE,11,
9,Rating,Not Rated,TRUE,825385,
10,Rating,General Audiences,TRUE,2115153,
11,Rating,Teen And Up Audiences,TRUE,2272688,
12,Rating,Mature,TRUE,1151260,
13,Rating,Explicit,TRUE,1238331,
14,ArchiveWarning,Choose Not To Use Archive Warnings,TRUE,2556570,
16,ArchiveWarning,No Archive Warnings Apply,TRUE,4095298,
17,ArchiveWarning,Graphic Depictions Of Violence,TRUE,519931,
18,ArchiveWarning,Major Character Death,TRUE,379648,
19,ArchiveWarning,Rape/Non-Con,TRUE,192479,
20,ArchiveWarning,Underage,TRUE,178303,
21,Category,Gen,TRUE,1423967,
22,Category,F/M,TRUE,1839948,
23,Category,M/M,TRUE,3744166,
24,Category,Other,TRUE,231426,
25,Character,Sam Winchester,TRUE,155832,
26,Character,Dean Winchester,TRUE,196184,
27,Fandom,Supernatural,TRUE,310300,
29,Relationship,Sam Winchester/Dean Winchester,FALSE,1055,35
32,Character,John Winchester,TRUE,20014,
33,Character,Impala - Character,FALSE,581,802294
34,Character,Jessica Moore,TRUE,6832,
35,Relationship,Dean Winchester/Sam Winchester,TRUE,35177,
36,Relationship,Jessica Moore/Sam Winchester,TRUE,5620,
37,Fandom,Boondock Saints (1999),FALSE,47,223663
38,Character,Sean Bean,TRUE,1313,
39,Character,Viggo Mortensen,TRUE,1543,
40,Character,Orlando Bloom,TRUE,1565,
45,Relationship,Viggo Mortensen/Orlando Bloom,FALSE,27,12718
46,Fandom,Lord of the Rings RPF,FALSE,3538,71193
47,Character,Tsuzuki,TRUE,8,
48,Character,Hisoka,FALSE,264,292511
50,Freeform,flangst,FALSE,1354,418427
51,Relationship,Tsuzuki/Hisoka,FALSE,15,9712
54,Freeform,One-Shot,FALSE,34893,1125
56,Fandom,Gravitation (Anime),FALSE,6,2769
57,Freeform,lustful thoughts,FALSE,11,208540
58,Relationship,Yuki/Shuichi,FALSE,13,9420
59,Freeform,souffle,FALSE,9,763298
60,Freeform,Romance,TRUE,353482,
61,Freeform,Drama,TRUE,116503,
62,Freeform,Humor,TRUE,248783,
63,Character,Zuko,FALSE,1733,6855
64,Character,Aang,FALSE,530,6854
65,Fandom,Avatar: The Last Airbender,TRUE,33306,
66,Freeform,Series Spoilers,FALSE,719,1739
67,Freeform,Pre-Slash,TRUE,42730,
68,Freeform,3x13,FALSE,41,127497
69,Character,Ronon Dex,TRUE,6698,
70,Fandom,Stargate Atlantis,TRUE,37689,
72,Relationship,Ronon Dex/Jennifer Keller,TRUE,138,
75,Freeform,5things,FALSE,19,135
76,Freeform,Complete,TRUE,472403,
77,Character,Rodney McKay,TRUE,17675,
78,Character,John Sheppard,TRUE,20310,
79,Character,Susan Pevensie,TRUE,2612,
83,Fandom,Chronicles of Narnia,FALSE,133,287734
84,Relationship,McShep,FALSE,1647,103
85,Relationship,Sheppard/McKay,FALSE,204,103
87,Character,David Archuleta,TRUE,514,
88,Character,David Cook,TRUE,603,
89,Relationship,Cook/Archuleta,FALSE,10,6856
90,Fandom,American Idol RPF,TRUE,3670,
91,Fandom,HP,FALSE,20687,136512
92,Character,Harry,TRUE,2530,
93,Character,Draco,FALSE,909,1589
94,Character,Snape,FALSE,307,966
95,Character,Hermione,TRUE,726,
96,Relationship,H/D,FALSE,252,99
97,Freeform,Hogwarts,TRUE,10793,
98,Freeform,PostWar,FALSE,332,12261
99,Relationship,Draco Malfoy/Harry Potter,TRUE,74244,
100,Freeform,powerful!Harry,FALSE,225,4226927
101,Freeform,PWP,FALSE,87148,579599
102,Freeform,flashfic,FALSE,666,616
103,Relationship,Rodney McKay/John Sheppard,TRUE,17432,
104,Freeform,commentfic,FALSE,128,11454
105,Freeform,pornbattle,FALSE,7,1404
106,Freeform,Rimming,TRUE,60113,
108,Freeform,OT3,TRUE,14379,
109,Freeform,Songfic,TRUE,28565,
110,Freeform,Fluff,TRUE,1183065,
112,Character,Callie Torres,TRUE,378,
113,Character,Erica Hahn,TRUE,129,
114,Fandom,Grey's Anatomy,TRUE,5396,
116,Category,F/F,TRUE,654059,
117,Freeform,Fisting,TRUE,5021,
118,Freeform,Cunnilingus,TRUE,36921,
119,Freeform,Safer Sex,TRUE,827,
121,Fandom,American Idol,FALSE,48,90
122,Freeform,RPF,TRUE,8598,
123,Character,John Crichton,TRUE,897,
124,Character,Ka D'Argo,TRUE,178,
125,Character,Dominar Rygel XVI,FALSE,66,12445405
127,Character,Chiana,TRUE,98,
129,Fandom,Farscape,TRUE,1667,
135,Freeform,5 Things,TRUE,3370,
136,Freeform,Remix,TRUE,3850,
137,Freeform,AU,FALSE,232276,968
138,Freeform,Episode Tag,TRUE,15504,
139,Freeform,post-episode,FALSE,823,138
141,Character,Aeryn Sun,TRUE,742,
143,Relationship,John/Aeryn,FALSE,19,6455
144,Freeform,Historians,TRUE,86,
145,Freeform,Documentation,TRUE,231,
146,Freeform,Space Battles,TRUE,769,
147,Freeform,Plotty,TRUE,2057,
148,Freeform,Epic,TRUE,9035,
151,Character,Teyla,FALSE,34,156
152,Character,Ronon,FALSE,23,69
153,Freeform,Blowjobs,FALSE,11958,26516
154,Freeform,Spaceships,TRUE,1083,
155,Freeform,Meta,TRUE,10661,
156,Character,Teyla Emmagan,TRUE,6903,
160,Freeform,OT4,TRUE,3127,
161,Freeform,offworld,FALSE,23,3917
162,Fandom,Stargate: Atlantis,FALSE,476,70
164,Fandom,The Dead Zone,FALSE,43,81667
166,Character,Mikey Way,TRUE,9174,
167,Character,Gerard Way,TRUE,14408,
168,Character,Frank Iero,TRUE,13193,
169,Fandom,My Chemical Romance,TRUE,18656,
170,Relationship,Mikey Way/Gerard Way,FALSE,31,31976
171,Freeform,Kissing,TRUE,113555,
172,Character,Meredith Grey,TRUE,1818,
173,Character,Cristina Yang,TRUE,642,
174,Relationship,Meredith/Cristina,FALSE,7,7227
175,Freeform,dialogue only,FALSE,209,14320
176,Freeform,Angst,TRUE,813647,
179,Freeform,Wincest - Freeform,FALSE,7089,
180,Freeform,Prostitution,TRUE,12686,
181,Freeform,hookerfic,FALSE,34,88875
182,Freeform,First Time,TRUE,119305,
183,Fandom,Harry Potter - Rowling,FALSE,6220,136512
184,Freeform,Crossover,TRUE,117074,
185,Character,Clark Kent,TRUE,22162,
186,Character,Lex Luthor,TRUE,8838,
187,Fandom,Smallville,TRUE,14993,
188,Relationship,Clark/Lex,FALSE,3853,5275
192,Freeform,Friendship,TRUE,182061,
193,Freeform,Break Up,TRUE,18991,
194,Character,Catherine Willows,TRUE,716,
195,Character,Warrick Brown,TRUE,541,
196,Fandom,CSI: Las Vegas,FALSE,147,86438
198,Freeform,Pegging,TRUE,8825,
199,Character,Jack Harkness,TRUE,20456,
200,Character,Ianto Jones,TRUE,12457,
201,Character,Toshiko Sato,TRUE,5006,
202,Relationship,Jack Harkness/Ianto Jones/Toshiko Sato,TRUE,22,
203,Fandom,Torchwood,TRUE,19829,
206,Fandom,House,FALSE,5313,272
207,Relationship,Greg House/James Wilson,TRUE,2449,
208,Freeform,Pranks,FALSE,2378,10714
209,Character,Greg House,TRUE,4655,
210,Character,James Wilson,TRUE,2745,
211,Freeform,post-its,FALSE,21,148317
212,Character,Ginny,TRUE,101,
213,Character,Ron,TRUE,245,
214,Character,Neville,TRUE,94,
215,Character,Bill Weasley,TRUE,6636,
216,Character,Fleur,TRUE,26,
217,Character,Arthur Weasley,TRUE,7241,
219,Character,Teddy,TRUE,371,
220,Relationship,Snarry - Relationship,FALSE,57,1600
221,Freeform,Amnesia,TRUE,20564,
222,Freeform,timetravel,FALSE,1110,7479
224,Freeform,post-DH,FALSE,90,21269286
228,Character,Molly,TRUE,417,
230,Character,Katie Brown,FALSE,223,54276930
232,Character,OFC,FALSE,9762,479641
233,Relationship,No Pairing,FALSE,999,267340
236,Freeform,cupidsbow,FALSE,68,
237,Freeform,Death,TRUE,42189,
238,Freeform,Backstory,TRUE,14966,
239,Character,George O'Malley,TRUE,274,
240,Freeform,drunk!sex,FALSE,36,19032
242,Freeform,Spanking,TRUE,47188,
243,Freeform,Fingerfucking,TRUE,11306,
244,Freeform,Future Fic,TRUE,47118,
245,Freeform,Tribadism,TRUE,942,
